system_message,function_description,conversations
You are a helpful assistant with access to the following functions. Use them if required -,"{
        ""name"": ""get_priorauth_status"",
        ""description"": ""Retrieve the prior authorization status for a member based on their birth date and mobile number"",
        ""parameters"": {
            ""type"": ""object"",
            ""properties"": {
                ""birth_date"": {
                    ""type"": ""string"",
                    ""description"": ""The birth date of the member in the format YYYY-MM-DD""
                },
                ""mobile_number"": {
                    ""type"": ""string"",
                    ""description"": ""The mobile number associated with the members account""
                }
            },
            ""required"": [""birth_date"", ""mobile_number""]
        }
    }","[
  {
    ""from"": ""system"",
    ""value"": ""You are a helpful assistant with access to the following functions to help the user. You can use the functions if needed.  -""
  },
  {
    ""from"": ""human"",
    ""value"": ""Can you provide the current prior authorization status?""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""Of course, I can help with that. Ill need your birth date and the mobile number associated with your account to retrieve your prior authorization status. Could you please provide those details?""
  },
  {
    ""from"": ""human"",
    ""value"": ""Sure, my birth date is 1990-03-22 and my mobile number is 987-654-3210.""
  },
  {
    ""from"": ""function-call"",
    ""value"": ""{\""name\"": \""get_priorauth_status\"", \""arguments\"":{\""birth_date\"": \""1990-03-22\"",\""mobile_number\"":\""987-654-3210\""}}""
  },
  {
    ""from"": ""function-response"",
    ""value"":""{\""status\"": \""Active\""}""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""I have retrieved your priorauthorization status. Your status is currently Active.""
  }
]

"
You are a helpful assistant with access to the following functions. Use them if required -,"{
        ""name"": ""get_priorauth_status"",
        ""description"": ""Retrieve the prior authorization status for a member based on their birth date and mobile number"",
        ""parameters"": {
            ""type"": ""object"",
            ""properties"": {
                ""birth_date"": {
                    ""type"": ""string"",
                    ""description"": ""The birth date of the member in the format YYYY-MM-DD""
                },
                ""mobile_number"": {
                    ""type"": ""string"",
                    ""description"": ""The mobile number associated with the members account""
                }
            },
            ""required"": [""birth_date"", ""mobile_number""]
        }
    }","[
  {
    ""from"": ""system"",
    ""value"": ""You are a helpful assistant with access to the following functions to help the user. You can use the functions if needed.  -""
  },
  {
    ""from"": ""human"",
    ""value"": ""Can you provide the current prior authorization status?""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""Of course, I can help with that. Ill need your birth date and the mobile number associated with your account to retrieve your prior authorization status. Could you please provide those details?""
  },
  {
    ""from"": ""human"",
    ""value"": ""Sure, my birth date is 1990-03-22 and my mobile number is 987-654-3210.""
  },
  {
    ""from"": ""function-call"",
    ""value"": ""{\""name\"": \""get_priorauth_status\"", \""arguments\"":{\""birth_date\"": \""1990-03-22\"",\""mobile_number\"":\""987-654-3210\""}}""
  },
  {
    ""from"": ""function-response"",
    ""value"":""{\""status\"": \""Active\""}""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""I have retrieved your priorauthorization status. Your status is currently Active.""
  }
]

"
You are a helpful assistant with access to the following functions. Use them if required -,"{
        ""name"": ""get_priorauth_status"",
        ""description"": ""Retrieve the prior authorization status for a member based on their birth date and mobile number"",
        ""parameters"": {
            ""type"": ""object"",
            ""properties"": {
                ""birth_date"": {
                    ""type"": ""string"",
                    ""description"": ""The birth date of the member in the format YYYY-MM-DD""
                },
                ""mobile_number"": {
                    ""type"": ""string"",
                    ""description"": ""The mobile number associated with the members account""
                }
            },
            ""required"": [""birth_date"", ""mobile_number""]
        }
    }","[
  {
    ""from"": ""system"",
    ""value"": ""You are a helpful assistant with access to the following functions to help the user. You can use the functions if needed.  -""
  },
  {
    ""from"": ""human"",
    ""value"": ""Can you check my prior authorization status?""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""Certainly! Please provide your birth date and mobile number so I can look it up.""
  },
  {
    ""from"": ""human"",
    ""value"": ""My birth date is September 15th, 1985 and my phone number is 123-456-7890.""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""It seems the birth date format is incorrect. Please provide it in YYYY-MM-DD format.""
  },
  {
    ""from"": ""human"",
    ""value"": ""I apologize. My birth date is 1985-09-15 and my mobile number is 1234567890.""
  },
  {
    ""from"": ""function-call"",
    ""value"":""{\""name\"": \""get_priorauth_status\"", \""arguments\"": {\""birth_date\"": \""1985-09-15\"",\""mobile_number\"":\""1234567890\""}}""
  },
  {
    ""from"": ""function-response"",
    ""value"":""{\""status\"": \""Inactive\""}""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""The prior authorization status for your account is currently Inactive.""
  }
]
"
You are a helpful assistant with access to the following functions. Use them if required -,"{
        ""name"": ""get_priorauth_status"",
        ""description"": ""Retrieve the prior authorization status for a member based on their birth date and mobile number"",
        ""parameters"": {
            ""type"": ""object"",
            ""properties"": {
                ""birth_date"": {
                    ""type"": ""string"",
                    ""description"": ""The birth date of the member in the format YYYY-MM-DD""
                },
                ""mobile_number"": {
                    ""type"": ""string"",
                    ""description"": ""The mobile number associated with the members account""
                }
            },
            ""required"": [""birth_date"", ""mobile_number""]
        }
    }","[
  {
    ""from"": ""system"",
    ""value"": ""You are a helpful assistant with access to the following functions to help the user. You can use the functions if needed.  -""
  },
  {
    ""from"": ""human"",
    ""value"": ""I need to know my prior authorization status.""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""Sure, please provide your birth date and mobile number.""
  },
  {
    ""from"": ""human"",
    ""value"": ""My birth date is 15/09/1985 and my phone number is 123-456-7890.""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""The birth date format is incorrect. Please provide it in YYYY-MM-DD format.""
  },
  {
    ""from"": ""human"",
    ""value"": ""Sorry about that. My birth date is actually 1985-09-15 and my mobile number is 1234567890.""
  },
  {
    ""from"": ""function-call"",
    ""value"":""{\""name\"": \""get_priorauth_status\"", \""arguments\"": {\""birth_date\"": \""1985-09-15\"",\""mobile_number\"":\""1234567890\""}}""
  },
  {
    ""from"": ""function-response"",
    ""value"":""{\""status\"": \""Inactive\""}""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""The prior authorization status for your account is currently Inactive.""
  }
]
"
You are a helpful assistant with access to the following functions. Use them if required -,"{
        ""name"": ""get_priorauth_status"",
        ""description"": ""Retrieve the prior authorization status for a member based on their birth date and mobile number"",
        ""parameters"": {
            ""type"": ""object"",
            ""properties"": {
                ""birth_date"": {
                    ""type"": ""string"",
                    ""description"": ""The birth date of the member in the format YYYY-MM-DD""
                },
                ""mobile_number"": {
                    ""type"": ""string"",
                    ""description"": ""The mobile number associated with the members account""
                }
            },
            ""required"": [""birth_date"", ""mobile_number""]
        }
    }","[
  {
    ""from"": ""system"",
    ""value"": ""You are a helpful assistant with access to the following functions to help the user. You can use the functions if needed.  -""
  },
  {
    ""from"": ""human"",
    ""value"": ""Please check the status of my prior authorization.""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""Certainly! Could you please provide your birth date and mobile number?""
  },
  {
    ""from"": ""human"",
    ""value"": ""My birthdate is 15-09-1985 and my phone number is 1234567890.""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""Im sorry, the birth date format should be YYYY-MM-DD. Please provide it in that format.""
  },
  {
    ""from"": ""human"",
    ""value"": ""My birth date is actually 1985-09-15 and my mobile number is 1234567890.""
  },
  {
    ""from"": ""function-call"",
    ""value"":""{\""name\"": \""get_priorauth_status\"", \""arguments\"": {\""birth_date\"": \""1985-09-15\"",\""mobile_number\"":\""1234567890\""}}""
  },
  {
    ""from"": ""function-response"",
    ""value"":""{\""status\"": \""Inactive\""}""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""The prior authorization status for your account is currently Inactive.""
  }
]
"
You are a helpful assistant with access to the following functions. Use them if required -,"{
        ""name"": ""get_priorauth_status"",
        ""description"": ""Retrieve the prior authorization status for a member based on their birth date and mobile number"",
        ""parameters"": {
            ""type"": ""object"",
            ""properties"": {
                ""birth_date"": {
                    ""type"": ""string"",
                    ""description"": ""The birth date of the member in the format YYYY-MM-DD""
                },
                ""mobile_number"": {
                    ""type"": ""string"",
                    ""description"": ""The mobile number associated with the members account""
                }
            },
            ""required"": [""birth_date"", ""mobile_number""]
        }
    }","[
  {
    ""from"": ""system"",
    ""value"": ""You are a helpful assistant with access to the following functions to help the user. You can use the functions if needed.  -""
  },
  {
    ""from"": ""human"",
    ""value"": ""Could you please verify my prior authorization status?""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""Sure! Please provide your birth date and mobile number.""
  },
  {
    ""from"": ""human"",
    ""value"": ""My birth date is 09-15-1985 and my phone number is 123-456-7890.""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""It appears the birth date format is incorrect. Please use YYYY-MM-DD format.""
  },
  {
    ""from"": ""human"",
    ""value"": ""Im sorry, my birth date is actually 1985-09-15 and my mobile number is 1234567890.""
  },
  {
    ""from"": ""function-call"",
    ""value"":""{\""name\"": \""get_priorauth_status\"", \""arguments\"": {\""birth_date\"": \""1985-09-15\"",\""mobile_number\"":\""1234567890\""}}""
  },
  {
    ""from"": ""function-response"",
    ""value"":""{\""status\"": \""Inactive\""}""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""The prior authorization status for your account is currently Inactive.""
  }
]
"
You are a helpful assistant with access to the following functions. Use them if required -,"{
        ""name"": ""get_priorauth_status"",
        ""description"": ""Retrieve the prior authorization status for a member based on their birth date and mobile number"",
        ""parameters"": {
            ""type"": ""object"",
            ""properties"": {
                ""birth_date"": {
                    ""type"": ""string"",
                    ""description"": ""The birth date of the member in the format YYYY-MM-DD""
                },
                ""mobile_number"": {
                    ""type"": ""string"",
                    ""description"": ""The mobile number associated with the members account""
                }
            },
            ""required"": [""birth_date"", ""mobile_number""]
        }
    }","[
  {
    ""from"": ""system"",
    ""value"": ""You are a helpful assistant with access to the following functions to help the user. You can use the functions if needed.  -""
  },
  {
    ""from"": ""human"",
    ""value"": ""Check my prior authorization status.""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""Sure! Please provide your birth date and mobile number.""
  },
  {
    ""from"": ""human"",
    ""value"": ""My birth date is 1990-05-20 and my mobile number is 555-123-4567.""
  },
  {
    ""from"": ""function-call"",
    ""value"":""{\""name\"": \""get_priorauth_status\"", \""arguments\"": {\""birth_date\"": \""1990-05-20\"", \""mobile_number\"": \""5551234567\""}}""
  },
  {
    ""from"": ""function-response"",
    ""value"":""{\""status\"": \""Active\""}""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""Your prior authorization status is currently Active.""
  }
]
"
You are a helpful assistant with access to the following functions. Use them if required -,"{
        ""name"": ""get_priorauth_status"",
        ""description"": ""Retrieve the prior authorization status for a member based on their birth date and mobile number"",
        ""parameters"": {
            ""type"": ""object"",
            ""properties"": {
                ""birth_date"": {
                    ""type"": ""string"",
                    ""description"": ""The birth date of the member in the format YYYY-MM-DD""
                },
                ""mobile_number"": {
                    ""type"": ""string"",
                    ""description"": ""The mobile number associated with the members account""
                }
            },
            ""required"": [""birth_date"", ""mobile_number""]
        }
    }","[
  {
    ""from"": ""system"",
    ""value"": ""You are a helpful assistant with access to the following functions to help the user. You can use the functions if needed.  -""
  },
  {
    ""from"": ""human"",
    ""value"": ""Check the status of my prior authorization.""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""Of course! Please provide your birth date and mobile number.""
  },
  {
    ""from"": ""human"",
    ""value"": ""My birth date is 1975-03-25 and my mobile number is 555-987-6543.""
  },
  {
    ""from"": ""function-call"",
    ""value"":""{\""name\"": \""get_priorauth_status\"", \""arguments\"": {\""birth_date\"": \""1975-03-25\"",\""mobile_number\"":\""5559876543\""}}""
  },
  {
    ""from"": ""function-response"",
    ""value"":""{\""status\"": \""Expiring\""}""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""Your prior authorization status is Expiring.""
  }
]
"
You are a helpful assistant with access to the following functions. Use them if required -,"{
        ""name"": ""get_priorauth_status"",
        ""description"": ""Retrieve the prior authorization status for a member based on their birth date and mobile number"",
        ""parameters"": {
            ""type"": ""object"",
            ""properties"": {
                ""birth_date"": {
                    ""type"": ""string"",
                    ""description"": ""The birth date of the member in the format YYYY-MM-DD""
                },
                ""mobile_number"": {
                    ""type"": ""string"",
                    ""description"": ""The mobile number associated with the members account""
                }
            },
            ""required"": [""birth_date"", ""mobile_number""]
        }
    }","[
  {
    ""from"": ""system"",
    ""value"": ""You are a helpful assistant with access to the following functions to help the user. You can use the functions if needed.  -""
  },
  {
    ""from"": ""human"",
    ""value"": ""Please verify my prior authorization status.""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""Sure! Could you please provide your birth date and mobile number?""
  },
  {
    ""from"": ""human"",
    ""value"": ""My birthdate is 1992-01-10 and my phone number is 123-456-7890.""
  },
  {
    ""from"": ""function-call"",
    ""value"":""{\""name\"": \""get_priorauth_status\"", \""arguments\"": {\""birth_date\"": \""1992-01-10\"",\""mobile_number\"":\""1234567890\""}}""
  },
  {
    ""from"": ""function-response"",
    ""value"":""{\""status\"": \""Expired\""}""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""Your prior authorization status is Expired.""
  }
]
"
You are a helpful assistant with access to the following functions. Use them if required -,"{
        ""name"": ""get_priorauth_status"",
        ""description"": ""Retrieve the prior authorization status for a member based on their birth date and mobile number"",
        ""parameters"": {
            ""type"": ""object"",
            ""properties"": {
                ""birth_date"": {
                    ""type"": ""string"",
                    ""description"": ""The birth date of the member in the format YYYY-MM-DD""
                },
                ""mobile_number"": {
                    ""type"": ""string"",
                    ""description"": ""The mobile number associated with the members account""
                }
            },
            ""required"": [""birth_date"", ""mobile_number""]
        }
    }","[
  {
    ""from"": ""system"",
    ""value"": ""You are a helpful assistant with access to the following functions to help the user. You can use the functions if needed.  -""
  },
  {
    ""from"": ""human"",
    ""value"": ""Can you tell me my prior authorization status?""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""Sure! Please provide your birth date and mobile number.""
  },
  {
    ""from"": ""human"",
    ""value"": ""My birth date is 1990-05-20 and my mobile number is 555-123-4567.""
  },
  {
    ""from"": ""function-call"",
    ""value"":""{\""name\"": \""get_priorauth_status\"", \""arguments\"": {\""birth_date\"": \""1990-05-20\"", \""mobile_number\"": \""5551234567\""}}""
  },
  {
    ""from"": ""function-response"",
    ""value"":""{\""status\"": \""Active\""}""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""Your prior authorization status is currently Active.""
  }
]
"
