system_message,function_description,conversations,Unnamed: 0
You are a helpful assistant with access to the following functions. Use them if required -,"{
        ""name"": ""case_status"",
        ""description"": ""Retrieve the case status for a member who has reported case based on their birth date and mobile number"",
        ""parameters"": {
            ""type"": ""object"",
            ""properties"": {
                ""birth_date"": {
                    ""type"": ""string"",
                    ""description"": ""The birth date of the member in the format 'YYYY-MM-DD'""
                },
                ""mobile_number"": {
                    ""type"": ""string"",
                    ""description"": ""The mobile number associated with the member's account""
                }
            },
            ""required"": [""birth_date"", ""mobile_number""]
        }
    }","[
  {
    ""from"": ""system"",
    ""value"": ""You are a helpful assistant with access to the following functions. Use them if required -{\n \""name\"": \""case_status\"",\n \""description\"": \""Retrieve the case status for a member who has reported case based on their birth date and mobile number\"",\n \""parameters\"": {\n \""type\"": \""object\"",\n \""properties\"": {\n \""birth_date\"": {\n \""type\"": \""string\"",\n \""description\"": \""The birth date of the member in the format 'YYYY-MM-DD'\""\n },\n \""mobile_number\"": {\n \""type\"": \""string\"",\n \""description\"": \""The mobile number associated with the member's account\""\n }\n },\n \""required\"": [\n \""birth_date\"",\n \""mobile_number\""\n ]\n }\n}""
  },
  {
    ""from"": ""human"",
    ""value"": ""Hey, can you tell me the status of my case?""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""Of course, I can look that up for you. Could you please provide your birth date and the mobile number associated with your account?""
  },
  {
    ""from"": ""human"",
    ""value"": ""My birth date is 12th September 1975, and my mobile number is (555) 867-5309.""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""It looks like the birth date format you provided is incorrect. Please provide your birth date in the 'YYYY-MM-DD' format.""
  },
  {
    ""from"": ""human"",
    ""value"": ""Oh, sorry about that. It's 1975-09-12.""
  },
  {
    ""from"": ""function-call"",
    ""value"": ""{\""name\"": \""case_status\"", \""arguments\"": \""{\\\""birth_date\\\"": \\\""1975-09-12\\\"", \\\""mobile_number\\\"": \\\""555-867-5309\\\""}\""}""
  },
  {
    ""from"": ""function-response"",
    ""value"": ""{\""status\"": \""on hold\""}""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""I have your case status. It looks like your case is currently on hold. Please wait for further updates.""
  }
]
",
You are a helpful assistant with access to the following functions. Use them if required -,"{
        ""name"": ""case_status"",
        ""description"": ""Retrieve the case status for a member who has reported case based on their birth date and mobile number"",
        ""parameters"": {
            ""type"": ""object"",
            ""properties"": {
                ""birth_date"": {
                    ""type"": ""string"",
                    ""description"": ""The birth date of the member in the format 'YYYY-MM-DD'""
                },
                ""mobile_number"": {
                    ""type"": ""string"",
                    ""description"": ""The mobile number associated with the member's account""
                }
            },
            ""required"": [""birth_date"", ""mobile_number""]
        }
    }","[
  {
    ""from"": ""system"",
    ""value"": ""You are a helpful assistant with access to the following functions. Use them if required -{\n \""name\"": \""case_status\"",\n \""description\"": \""Retrieve the case status for a member who has reported case based on their birth date and mobile number\"",\n \""parameters\"": {\n \""type\"": \""object\"",\n \""properties\"": {\n \""birth_date\"": {\n \""type\"": \""string\"",\n \""description\"": \""The birth date of the member in the format 'YYYY-MM-DD'\""\n },\n \""mobile_number\"": {\n \""type\"": \""string\"",\n \""description\"": \""The mobile number associated with the member's account\""\n }\n },\n \""required\"": [\n \""birth_date\"",\n \""mobile_number\""\n ]\n }\n}""
  },
  {
    ""from"": ""human"",
    ""value"": ""Hey, can you tell me the status of my case?""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""Of course, I can look that up for you. Could you please provide your birth date and the mobile number associated with your account?""
  },
  {
    ""from"": ""human"",
    ""value"": ""My birth date is 22nd March 1980, and my mobile number is 123-456-7890.""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""It looks like the birth date format you provided is incorrect. Please provide your birth date in the 'YYYY-MM-DD' format.""
  },
  {
    ""from"": ""human"",
    ""value"": ""Oh, my bad. It's 1980-03-22.""
  },
  {
    ""from"": ""function-call"",
    ""value"": ""{\""name\"": \""case_status\"", \""arguments\"": \""{\\\""birth_date\\\"": \\\""1980-03-22\\\"", \\\""mobile_number\\\"": \\\""123-456-7890\\\""}\""}""
  },
  {
    ""from"": ""function-response"",
    ""value"": ""{\""status\"": \""new\""}""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""I have your case status. It looks like your case is currently new and is being reviewed. Please wait for further updates.""
  }
]",
You are a helpful assistant with access to the following functions. Use them if required -,"{
        ""name"": ""case_status"",
        ""description"": ""Retrieve the case status for a member who has reported case based on their birth date and mobile number"",
        ""parameters"": {
            ""type"": ""object"",
            ""properties"": {
                ""birth_date"": {
                    ""type"": ""string"",
                    ""description"": ""The birth date of the member in the format 'YYYY-MM-DD'""
                },
                ""mobile_number"": {
                    ""type"": ""string"",
                    ""description"": ""The mobile number associated with the member's account""
                }
            },
            ""required"": [""birth_date"", ""mobile_number""]
        }
    }","[
  {
    ""from"": ""system"",
    ""value"": ""You are a helpful assistant with access to the following functions. Use them if required -{\n \""name\"": \""case_status\"",\n \""description\"": \""Retrieve the case status for a member who has reported case based on their birth date and mobile number\"",\n \""parameters\"": {\n \""type\"": \""object\"",\n \""properties\"": {\n \""birth_date\"": {\n \""type\"": \""string\"",\n \""description\"": \""The birth date of the member in the format 'YYYY-MM-DD'\""\n },\n \""mobile_number\"": {\n \""type\"": \""string\"",\n \""description\"": \""The mobile number associated with the member's account\""\n }\n },\n \""required\"": [\n \""birth_date\"",\n \""mobile_number\""\n ]\n }\n}""
  },
  {
    ""from"": ""human"",
    ""value"": ""Hey, can you tell me the status of my case?""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""Of course, I can look that up for you. Could you please provide your birth date and the mobile number associated with your account?""
  },
  {
    ""from"": ""human"",
    ""value"": ""My birth date is 1st January 1990, and my mobile number is 987-654-3210.""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""It looks like the birth date format you provided is incorrect. Please provide your birth date in the 'YYYY-MM-DD' format.""
  },
  {
    ""from"": ""human"",
    ""value"": ""Oh, sure. It's 1990-01-01.""
  },
  {
    ""from"": ""function-call"",
    ""value"": ""{\""name\"": \""case_status\"", \""arguments\"": \""{\\\""birth_date\\\"": \\\""1990-01-01\\\"", \\\""mobile_number\\\"": \\\""987-654-3210\\\""}\""}""
  },
  {
    ""from"": ""function-response"",
    ""value"": ""{\""status\"": \""escalated\""}""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""I have your case status. It looks like your case has been escalated. Please wait for further updates.""
  }
]",
You are a helpful assistant with access to the following functions. Use them if required -,"{
        ""name"": ""case_status"",
        ""description"": ""Retrieve the case status for a member who has reported case based on their birth date and mobile number"",
        ""parameters"": {
            ""type"": ""object"",
            ""properties"": {
                ""birth_date"": {
                    ""type"": ""string"",
                    ""description"": ""The birth date of the member in the format 'YYYY-MM-DD'""
                },
                ""mobile_number"": {
                    ""type"": ""string"",
                    ""description"": ""The mobile number associated with the member's account""
                }
            },
            ""required"": [""birth_date"", ""mobile_number""]
        }
    }","[
  {
    ""from"": ""system"",
    ""value"": ""You are a helpful assistant with access to the following functions. Use them if required -{\n \""name\"": \""case_status\"",\n \""description\"": \""Retrieve the case status for a member who has reported case based on their birth date and mobile number\"",\n \""parameters\"": {\n \""type\"": \""object\"",\n \""properties\"": {\n \""birth_date\"": {\n \""type\"": \""string\"",\n \""description\"": \""The birth date of the member in the format 'YYYY-MM-DD'\""\n },\n \""mobile_number\"": {\n \""type\"": \""string\"",\n \""description\"": \""The mobile number associated with the member's account\""\n }\n },\n \""required\"": [\n \""birth_date\"",\n \""mobile_number\""\n ]\n }\n}""
  },
  {
    ""from"": ""human"",
    ""value"": ""Hey, can you tell me the status of my case?""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""Of course, I can look that up for you. Could you please provide your birth date and the mobile number associated with your account?""
  },
  {
    ""from"": ""human"",
    ""value"": ""My birth date is 5th July 1965, and my mobile number is 555-123-4567.""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""It looks like the birth date format you provided is incorrect. Please provide your birth date in the 'YYYY-MM-DD' format.""
  },
  {
    ""from"": ""human"",
    ""value"": ""Oops! It's 1965-07-05.""
  },
  {
    ""from"": ""function-call"",
    ""value"": ""{\""name\"": \""case_status\"", \""arguments\"": \""{\\\""birth_date\\\"": \\\""1965-07-05\\\"", \\\""mobile_number\\\"": \\\""555-123-4567\\\""}\""}""
  },
  {
    ""from"": ""function-response"",
    ""value"": ""{\""status\"": \""on hold\""}""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""I have your case status. It looks like your case is currently on hold. Please wait for further updates.""
  }
]",
You are a helpful assistant with access to the following functions. Use them if required -,"{
        ""name"": ""case_status"",
        ""description"": ""Retrieve the case status for a member who has reported case based on their birth date and mobile number"",
        ""parameters"": {
            ""type"": ""object"",
            ""properties"": {
                ""birth_date"": {
                    ""type"": ""string"",
                    ""description"": ""The birth date of the member in the format 'YYYY-MM-DD'""
                },
                ""mobile_number"": {
                    ""type"": ""string"",
                    ""description"": ""The mobile number associated with the member's account""
                }
            },
            ""required"": [""birth_date"", ""mobile_number""]
        }
    }","[
  {
    ""from"": ""system"",
    ""value"": ""You are a helpful assistant with access to the following functions. Use them if required -{\n \""name\"": \""case_status\"",\n \""description\"": \""Retrieve the case status for a member who has reported case based on their birth date and mobile number\"",\n \""parameters\"": {\n \""type\"": \""object\"",\n \""properties\"": {\n \""birth_date\"": {\n \""type\"": \""string\"",\n \""description\"": \""The birth date of the member in the format 'YYYY-MM-DD'\""\n },\n \""mobile_number\"": {\n \""type\"": \""string\"",\n \""description\"": \""The mobile number associated with the member's account\""\n }\n },\n \""required\"": [\n \""birth_date\"",\n \""mobile_number\""\n ]\n }\n}""
  },
  {
    ""from"": ""human"",
    ""value"": ""Hey, can you tell me the status of my case?""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""Of course, I can look that up for you. Could you please provide your birth date and the mobile number associated with your account?""
  },
  {
    ""from"": ""human"",
    ""value"": ""My birth date is 20th February 2000, and my mobile number is 234-567-8901.""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""It looks like the birth date format you provided is incorrect. Please provide your birth date in the 'YYYY-MM-DD' format.""
  },
  {
    ""from"": ""human"",
    ""value"": ""Sorry, it's 2000-02-20.""
  },
  {
    ""from"": ""function-call"",
    ""value"": ""{\""name\"": \""case_status\"", \""arguments\"": \""{\\\""birth_date\\\"": \\\""2000-02-20\\\"", \\\""mobile_number\\\"": \\\""234-567-8901\\\""}\""}""
  },
  {
    ""from"": ""function-response"",
    ""value"": ""{\""status\"": \""new\""}""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""I have your case status. It looks like your case is currently new and is being reviewed. Please wait for further updates.""
  }
]",
You are a helpful assistant with access to the following functions. Use them if required -,"{
        ""name"": ""case_status"",
        ""description"": ""Retrieve the case status for a member who has reported case based on their birth date and mobile number"",
        ""parameters"": {
            ""type"": ""object"",
            ""properties"": {
                ""birth_date"": {
                    ""type"": ""string"",
                    ""description"": ""The birth date of the member in the format 'YYYY-MM-DD'""
                },
                ""mobile_number"": {
                    ""type"": ""string"",
                    ""description"": ""The mobile number associated with the member's account""
                }
            },
            ""required"": [""birth_date"", ""mobile_number""]
        }
    }","[
  {
    ""from"": ""system"",
    ""value"": ""You are a helpful assistant with access to the following functions. Use them if required -{\n \""name\"": \""case_status\"",\n \""description\"": \""Retrieve the case status for a member who has reported case based on their birth date and mobile number\"",\n \""parameters\"": {\n \""type\"": \""object\"",\n \""properties\"": {\n \""birth_date\"": {\n \""type\"": \""string\"",\n \""description\"": \""The birth date of the member in the format 'YYYY-MM-DD'\""\n },\n \""mobile_number\"": {\n \""type\"": \""string\"",\n \""description\"": \""The mobile number associated with the member's account\""\n }\n },\n \""required\"": [\n \""birth_date\"",\n \""mobile_number\""\n ]\n }\n}""
  },
  {
    ""from"": ""human"",
    ""value"": ""Hey, can you tell me the status of my case?""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""Of course, I can look that up for you. Could you please provide your birth date and the mobile number associated with your account?""
  },
  {
    ""from"": ""human"",
    ""value"": ""My birth date is 15th August 1972, and my mobile number is 456-789-0123.""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""It looks like the birth date format you provided is incorrect. Please provide your birth date in the 'YYYY-MM-DD' format.""
  },
  {
    ""from"": ""human"",
    ""value"": ""Got it. It's 1972-08-15.""
  },
  {
    ""from"": ""function-call"",
    ""value"": ""{\""name\"": \""case_status\"", \""arguments\"": \""{\\\""birth_date\\\"": \\\""1972-08-15\\\"", \\\""mobile_number\\\"": \\\""456-789-0123\\\""}\""}""
  },
  {
    ""from"": ""function-response"",
    ""value"": ""{\""status\"": \""escalated\""}""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""I have your case status. It looks like your case has been escalated. Please wait for further updates.""
  }
]",
You are a helpful assistant with access to the following functions. Use them if required -,"{
        ""name"": ""case_status"",
        ""description"": ""Retrieve the case status for a member who has reported case based on their birth date and mobile number"",
        ""parameters"": {
            ""type"": ""object"",
            ""properties"": {
                ""birth_date"": {
                    ""type"": ""string"",
                    ""description"": ""The birth date of the member in the format 'YYYY-MM-DD'""
                },
                ""mobile_number"": {
                    ""type"": ""string"",
                    ""description"": ""The mobile number associated with the member's account""
                }
            },
            ""required"": [""birth_date"", ""mobile_number""]
        }
    }","[
  {
    ""from"": ""system"",
    ""value"": ""You are a helpful assistant with access to the following functions. Use them if required -{\n \""name\"": \""case_status\"",\n \""description\"": \""Retrieve the case status for a member who has reported case based on their birth date and mobile number\"",\n \""parameters\"": {\n \""type\"": \""object\"",\n \""properties\"": {\n \""birth_date\"": {\n \""type\"": \""string\"",\n \""description\"": \""The birth date of the member in the format 'YYYY-MM-DD'\""\n },\n \""mobile_number\"": {\n \""type\"": \""string\"",\n \""description\"": \""The mobile number associated with the member's account\""\n }\n },\n \""required\"": [\n \""birth_date\"",\n \""mobile_number\""\n ]\n }\n}""
  },
  {
    ""from"": ""human"",
    ""value"": ""Hi there! Could you please check the status of my case?""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""Sure, I can help with that. Please provide your birth date and mobile number.""
  },
  {
    ""from"": ""human"",
    ""value"": ""My birth date is April 10, 1985, and my mobile number is 789-012-3456.""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""It seems the birth date format is incorrect. Please provide your birth date in the 'YYYY-MM-DD' format.""
  },
  {
    ""from"": ""human"",
    ""value"": ""Apologies, it's actually 1985-04-10.""
  },
  {
    ""from"": ""function-call"",
    ""value"": ""{\""name\"": \""case_status\"", \""arguments\"": \""{\\\""birth_date\\\"": \\\""1985-04-10\\\"", \\\""mobile_number\\\"": \\\""789-012-3456\\\""}\""}""
  },
  {
    ""from"": ""function-response"",
    ""value"": ""{\""status\"": \""on hold\""}""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""I've found your case status. It appears your case is currently on hold. Please await further updates.""
  }
]
",
You are a helpful assistant with access to the following functions. Use them if required -,"{
        ""name"": ""case_status"",
        ""description"": ""Retrieve the case status for a member who has reported case based on their birth date and mobile number"",
        ""parameters"": {
            ""type"": ""object"",
            ""properties"": {
                ""birth_date"": {
                    ""type"": ""string"",
                    ""description"": ""The birth date of the member in the format 'YYYY-MM-DD'""
                },
                ""mobile_number"": {
                    ""type"": ""string"",
                    ""description"": ""The mobile number associated with the member's account""
                }
            },
            ""required"": [""birth_date"", ""mobile_number""]
        }
    }","[
  {
    ""from"": ""system"",
    ""value"": ""You are a helpful assistant with access to the following functions. Use them if required -{\n \""name\"": \""case_status\"",\n \""description\"": \""Retrieve the case status for a member who has reported case based on their birth date and mobile number\"",\n \""parameters\"": {\n \""type\"": \""object\"",\n \""properties\"": {\n \""birth_date\"": {\n \""type\"": \""string\"",\n \""description\"": \""The birth date of the member in the format 'YYYY-MM-DD'\""\n },\n \""mobile_number\"": {\n \""type\"": \""string\"",\n \""description\"": \""The mobile number associated with the member's account\""\n }\n },\n \""required\"": [\n \""birth_date\"",\n \""mobile_number\""\n ]\n }\n}""
  },
  {
    ""from"": ""human"",
    ""value"": ""Hey, I need to know the status of my case.""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""Sure, please provide your birth date and mobile number so I can assist you.""
  },
  {
    ""from"": ""human"",
    ""value"": ""My birth date is December 5th, 1992, and my mobile number is (123) 456-7890.""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""It looks like the birth date format you provided is incorrect. Please provide your birth date in the 'YYYY-MM-DD' format.""
  },
  {
    ""from"": ""human"",
    ""value"": ""Sorry about that. It's actually 1992-12-05.""
  },
  {
    ""from"": ""function-call"",
    ""value"": ""{\""name\"": \""case_status\"", \""arguments\"": \""{\\\""birth_date\\\"": \\\""1992-12-05\\\"", \\\""mobile_number\\\"": \\\""123-456-7890\\\""}\""}""
  },
  {
    ""from"": ""function-response"",
    ""value"": ""{\""status\"": \""new\""}""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""I have checked your case status. Your case is currently new and under review. Please await further updates.""
  }
]",
You are a helpful assistant with access to the following functions. Use them if required -,"{
        ""name"": ""case_status"",
        ""description"": ""Retrieve the case status for a member who has reported case based on their birth date and mobile number"",
        ""parameters"": {
            ""type"": ""object"",
            ""properties"": {
                ""birth_date"": {
                    ""type"": ""string"",
                    ""description"": ""The birth date of the member in the format 'YYYY-MM-DD'""
                },
                ""mobile_number"": {
                    ""type"": ""string"",
                    ""description"": ""The mobile number associated with the member's account""
                }
            },
            ""required"": [""birth_date"", ""mobile_number""]
        }
    }","[
  {
    ""from"": ""system"",
    ""value"": ""You are a helpful assistant with access to the following functions. Use them if required -{\n \""name\"": \""case_status\"",\n \""description\"": \""Retrieve the case status for a member who has reported case based on their birth date and mobile number\"",\n \""parameters\"": {\n \""type\"": \""object\"",\n \""properties\"": {\n \""birth_date\"": {\n \""type\"": \""string\"",\n \""description\"": \""The birth date of the member in the format 'YYYY-MM-DD'\""\n },\n \""mobile_number\"": {\n \""type\"": \""string\"",\n \""description\"": \""The mobile number associated with the member's account\""\n }\n },\n \""required\"": [\n \""birth_date\"",\n \""mobile_number\""\n ]\n }\n}""
  },
  {
    ""from"": ""human"",
    ""value"": ""Hello! Can you tell me the status of my case?""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""Certainly! Please provide your birth date and mobile number so I can assist you.""
  },
  {
    ""from"": ""human"",
    ""value"": ""My birth date is 15th June 1988, and my mobile number is 555-987-6543.""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""It seems the birth date format you provided is incorrect. Please provide your birth date in the 'YYYY-MM-DD' format.""
  },
  {
    ""from"": ""human"",
    ""value"": ""Oops! My apologies. It's actually 1988-06-15.""
  },
  {
    ""from"": ""function-call"",
    ""value"": ""{\""name\"": \""case_status\"", \""arguments\"": \""{\\\""birth_date\\\"": \\\""1988-06-15\\\"", \\\""mobile_number\\\"": \\\""555-987-6543\\\""}\""}""
  },
  {
    ""from"": ""function-response"",
    ""value"": ""{\""status\"": \""escalated\""}""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""I've found your case status. It appears your case has been escalated. Please await further updates.""
  }
]",
You are a helpful assistant with access to the following functions. Use them if required -,"{
        ""name"": ""case_status"",
        ""description"": ""Retrieve the case status for a member who has reported case based on their birth date and mobile number"",
        ""parameters"": {
            ""type"": ""object"",
            ""properties"": {
                ""birth_date"": {
                    ""type"": ""string"",
                    ""description"": ""The birth date of the member in the format 'YYYY-MM-DD'""
                },
                ""mobile_number"": {
                    ""type"": ""string"",
                    ""description"": ""The mobile number associated with the member's account""
                }
            },
            ""required"": [""birth_date"", ""mobile_number""]
        }
    }","[
  {
    ""from"": ""system"",
    ""value"": ""You are a helpful assistant with access to the following functions. Use them if required -{\n \""name\"": \""case_status\"",\n \""description\"": \""Retrieve the case status for a member who has reported case based on their birth date and mobile number\"",\n \""parameters\"": {\n \""type\"": \""object\"",\n \""properties\"": {\n \""birth_date\"": {\n \""type\"": \""string\"",\n \""description\"": \""The birth date of the member in the format 'YYYY-MM-DD'\""\n },\n \""mobile_number\"": {\n \""type\"": \""string\"",\n \""description\"": \""The mobile number associated with the member's account\""\n }\n },\n \""required\"": [\n \""birth_date\"",\n \""mobile_number\""\n ]\n }\n}""
  },
  {
    ""from"": ""human"",
    ""value"": ""Hi! Could you please check the status of my case?""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""Of course! Please provide your birth date and mobile number so I can assist you.""
  },
  {
    ""from"": ""human"",
    ""value"": ""My birth date is March 25th, 1979, and my mobile number is (987) 654-3210.""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""It looks like the birth date format you provided is incorrect. Please provide your birth date in the 'YYYY-MM-DD' format.""
  },
  {
    ""from"": ""human"",
    ""value"": ""Oops! Sorry about that. It's actually 1979-03-25.""
  },
  {
    ""from"": ""function-call"",
    ""value"": ""{\""name\"": \""case_status\"", \""arguments\"": \""{\\\""birth_date\\\"": \\\""1979-03-25\\\"", \\\""mobile_number\\\"": \\\""987-654-3210\\\""}\""}""
  },
  {
    ""from"": ""function-response"",
    ""value"": ""{\""status\"": \""on hold\""}""
  },
  {
    ""from"": ""gpt"",
    ""value"": ""I've found your case status. It appears your case is currently on hold. Please await further updates.""
  }
]
",
